rank,timestamp,fonduegroup_id,fonduegroup_name,post_count_star,post_count_star_stat,avg_star,post_count_all,post_count_finish,post_finish_percentage,avg_duration_minutes_inprogress,avg_duration_minutes_finished
1,,18122,สำนักงบประมาณกรุงเทพมหานคร,42,"{'star_1': 5, 'star_2': 0, 'star_3': 6, 'star_4': 1, 'star_5': 30}",4.21,65,61,93.85,4397,43436
2,,18026,เขตบางแค,9922,"{'star_1': 1156, 'star_2': 348, 'star_3': 703, 'star_4': 1326, 'star_5': 6389}",4.15,26527,22604,85.21,12517,58088
3,,18025,เขตบางคอแหลม,5184,"{'star_1': 606, 'star_2': 164, 'star_3': 340, 'star_4': 785, 'star_5': 3289}",4.15,14134,11746,83.10,5974,57238
4,,18051,เขตหนองจอก,5552,"{'star_1': 617, 'star_2': 217, 'star_3': 447, 'star_4': 841, 'star_5': 3430}",4.13,16137,13771,85.34,9648,113798
5,,17370,เขตดุสิต,3906,"{'star_1': 435, 'star_2': 122, 'star_3': 327, 'star_4': 648, 'star_5': 2374}",4.13,11237,8977,79.89,17328,91795
6,,18010,สำนักป้องกันและบรรเทาสาธารณภัย กทม.,370,"{'star_1': 37, 'star_2': 17, 'star_3': 34, 'star_4': 61, 'star_5': 221}",4.11,959,898,93.64,7253,21258
7,,18038,เขตภาษีเจริญ,5911,"{'star_1': 763, 'star_2': 195, 'star_3': 448, 'star_4': 799, 'star_5': 3706}",4.10,15916,13055,82.02,10438,55880
8,,17952,เขตลาดพร้าว,7079,"{'star_1': 850, 'star_2': 287, 'star_3': 491, 'star_4': 1181, 'star_5': 4270}",4.09,17842,15240,85.42,8507,50067
9,,8371,เขตบางซื่อ,7304,"{'star_1': 750, 'star_2': 253, 'star_3': 810, 'star_4': 1325, 'star_5': 4166}",4.08,20510,17421,84.94,15064,85415
10,,18058,เขตคันนายาว,4010,"{'star_1': 429, 'star_2': 118, 'star_3': 231, 'star_4': 1216, 'star_5': 2016}",4.07,10364,8352,80.59,8997,89085
11,,18109,สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส. กทม.),15184,"{'star_1': 1865, 'star_2': 555, 'star_3': 1331, 'star_4': 2679, 'star_5': 8754}",4.05,48266,32529,67.40,42106,175645
12,,18028,เขตบางบอน,3441,"{'star_1': 407, 'star_2': 152, 'star_3': 304, 'star_4': 576, 'star_5': 2002}",4.05,10653,8583,80.57,12107,77282
13,,18018,เขตทุ่งครุ,3838,"{'star_1': 484, 'star_2': 150, 'star_3': 349, 'star_4': 607, 'star_5': 2248}",4.04,9984,8694,87.08,9531,45325
14,,18031,เขตบึงกุ่ม,8796,"{'star_1': 711, 'star_2': 221, 'star_3': 433, 'star_4': 4351, 'star_5': 3080}",4.01,19399,16838,86.80,10829,67143
15,,18013,เขตจอมทอง,4356,"{'star_1': 596, 'star_2': 164, 'star_3': 344, 'star_4': 762, 'star_5': 2490}",4.01,13791,10687,77.49,16950,80103
16,,18024,เขตบางเขน,9930,"{'star_1': 1294, 'star_2': 408, 'star_3': 873, 'star_4': 1803, 'star_5': 5552}",4.00,25065,21561,86.02,8214,65512
17,,18048,เขตสายไหม,6136,"{'star_1': 805, 'star_2': 254, 'star_3': 541, 'star_4': 1092, 'star_5': 3444}",4.00,16421,13742,83.69,18896,75879
18,,18036,เขตพระนคร,7505,"{'star_1': 1090, 'star_2': 284, 'star_3': 645, 'star_4': 1094, 'star_5': 4392}",3.99,22357,18227,81.53,10556,67893
19,,18119,สำนักการโยธา กทม.,41845,"{'star_1': 4907, 'star_2': 1879, 'star_3': 3950, 'star_4': 9394, 'star_5': 21715}",3.98,147912,107016,72.35,35101,214286
20,,18023,เขตบางขุนเทียน,6665,"{'star_1': 905, 'star_2': 261, 'star_3': 578, 'star_4': 1211, 'star_5': 3710}",3.98,22180,17073,76.97,10017,53997
21,,18040,เขตยานนาวา,5071,"{'star_1': 655, 'star_2': 229, 'star_3': 500, 'star_4': 849, 'star_5': 2838}",3.98,15646,12540,80.15,16862,95756
22,,18017,เขตทวีวัฒนา,2946,"{'star_1': 403, 'star_2': 149, 'star_3': 234, 'star_4': 488, 'star_5': 1672}",3.98,9570,7621,79.63,14293,64430
23,,18059,เขตจตุจักร,17578,"{'star_1': 2530, 'star_2': 762, 'star_3': 1525, 'star_4': 2858, 'star_5': 9903}",3.96,50177,40175,80.07,14011,91943
24,,18039,เขตมีนบุรี,5721,"{'star_1': 802, 'star_2': 242, 'star_3': 446, 'star_4': 1141, 'star_5': 3090}",3.96,15463,13119,84.84,14982,86858
25,,18037,เขตพระโขนง,4567,"{'star_1': 617, 'star_2': 224, 'star_3': 413, 'star_4': 794, 'star_5': 2519}",3.96,14819,11894,80.26,15539,85629
26,,18052,เขตหนองแขม,3758,"{'star_1': 573, 'star_2': 147, 'star_3': 295, 'star_4': 581, 'star_5': 2162}",3.96,12372,11236,90.82,8480,57869
27,,18042,เขตราษฎร์บูรณะ,3055,"{'star_1': 434, 'star_2': 128, 'star_3': 274, 'star_4': 498, 'star_5': 1721}",3.96,8196,6690,81.63,8894,47880
28,,18016,เขตตลิ่งชัน,4361,"{'star_1': 662, 'star_2': 164, 'star_3': 353, 'star_4': 744, 'star_5': 2438}",3.95,15014,11194,74.56,15834,66577
29,,18067,สำนักการระบายน้ำ กทม.,6864,"{'star_1': 856, 'star_2': 305, 'star_3': 767, 'star_4': 1409, 'star_5': 3527}",3.94,20715,14968,72.26,29060,128689
30,,18057,เขตคลองสามวา,6301,"{'star_1': 812, 'star_2': 304, 'star_3': 569, 'star_4': 1470, 'star_5': 3146}",3.93,17977,15310,85.16,18053,105648
31,,18053,เขตหลักสี่,4705,"{'star_1': 617, 'star_2': 238, 'star_3': 570, 'star_4': 714, 'star_5': 2566}",3.93,15669,12643,80.69,14881,80904
32,,18019,เขตธนบุรี,7153,"{'star_1': 1079, 'star_2': 336, 'star_3': 658, 'star_4': 1117, 'star_5': 3963}",3.92,19012,16620,87.42,11304,55506
33,,18054,เขตห้วยขวาง,6963,"{'star_1': 982, 'star_2': 367, 'star_3': 610, 'star_4': 1248, 'star_5': 3756}",3.92,22672,16493,72.75,25191,140755
34,,18044,เขตวังทองหลาง,6431,"{'star_1': 969, 'star_2': 291, 'star_3': 591, 'star_4': 1089, 'star_5': 3491}",3.91,17481,14816,84.75,12473,70329
35,,18020,เขตบางกะปิ,9785,"{'star_1': 1382, 'star_2': 450, 'star_3': 888, 'star_4': 2302, 'star_5': 4763}",3.88,29842,23215,77.79,16026,94129
36,,18056,เขตคลองสาน,4158,"{'star_1': 653, 'star_2': 228, 'star_3': 362, 'star_4': 646, 'star_5': 2269}",3.88,11028,9093,82.45,15404,75281
37,,18050,เขตสวนหลวง,6777,"{'star_1': 1028, 'star_2': 327, 'star_3': 640, 'star_4': 1290, 'star_5': 3492}",3.87,23531,17550,74.58,24844,108200
38,,18021,เขตบางกอกน้อย,6257,"{'star_1': 1042, 'star_2': 282, 'star_3': 547, 'star_4': 990, 'star_5': 3396}",3.87,21552,18143,84.18,12675,72567
39,,18027,เขตบางนา,5124,"{'star_1': 774, 'star_2': 233, 'star_3': 557, 'star_4': 894, 'star_5': 2666}",3.87,17434,13599,78.00,21958,118478
40,,18047,เขตสาทร,6910,"{'star_1': 1089, 'star_2': 329, 'star_3': 591, 'star_4': 1332, 'star_5': 3569}",3.86,20420,17256,84.51,9630,54852
41,,18022,เขตบางกอกใหญ่,2219,"{'star_1': 378, 'star_2': 101, 'star_3': 202, 'star_4': 370, 'star_5': 1168}",3.83,7628,6441,84.44,14067,76106
42,,18033,เขตประเวศ,10039,"{'star_1': 1631, 'star_2': 510, 'star_3': 1016, 'star_4': 1735, 'star_5': 5147}",3.82,31791,26806,84.32,9059,76399
43,,18046,เขตสะพานสูง,4423,"{'star_1': 719, 'star_2': 207, 'star_3': 479, 'star_4': 794, 'star_5': 2224}",3.81,13302,11190,84.12,16183,87839
44,,18123,สำนักเทศกิจ กทม.,378,"{'star_1': 74, 'star_2': 16, 'star_3': 35, 'star_4': 36, 'star_5': 217}",3.81,2288,2140,93.53,20753,48083
45,,18034,เขตป้อมปราบศัตรูพ่าย,4188,"{'star_1': 807, 'star_2': 187, 'star_3': 320, 'star_4': 615, 'star_5': 2259}",3.80,14456,12256,84.78,11031,76806
46,,18049,เขตสัมพันธวงศ์,2219,"{'star_1': 413, 'star_2': 110, 'star_3': 183, 'star_4': 319, 'star_5': 1194}",3.80,6060,5052,83.37,6778,45202
47,,18127,สำนักยุทธศาสตร์และประเมินผล กทม.,60,"{'star_1': 12, 'star_2': 4, 'star_3': 1, 'star_4': 10, 'star_5': 33}",3.80,126,115,91.27,11445,49492
48,,18035,เขตพญาไท,6190,"{'star_1': 1063, 'star_2': 315, 'star_3': 628, 'star_4': 1022, 'star_5': 3162}",3.79,17865,14100,78.93,14445,101553
49,,18128,สำนักวัฒนธรรม กีฬาและการท่องเที่ยว กทม.,611,"{'star_1': 98, 'star_2': 30, 'star_3': 75, 'star_4': 107, 'star_5': 301}",3.79,1870,1586,84.81,12032,99952
50,,18041,เขตราชเทวี,7937,"{'star_1': 1376, 'star_2': 419, 'star_3': 779, 'star_4': 1346, 'star_5': 4017}",3.78,24783,19022,76.75,17439,95972
51,,18125,สำนักพัฒนาสังคม กทม.,199,"{'star_1': 36, 'star_2': 7, 'star_3': 25, 'star_4': 27, 'star_5': 104}",3.78,552,507,91.85,14427,53796
52,,18015,เขตดินแดง,7445,"{'star_1': 1335, 'star_2': 356, 'star_3': 721, 'star_4': 1294, 'star_5': 3739}",3.77,24141,17973,74.45,21222,115399
53,,18014,เขตดอนเมือง,4791,"{'star_1': 882, 'star_2': 200, 'star_3': 471, 'star_4': 837, 'star_5': 2401}",3.77,13015,10767,82.73,13029,73905
54,,18043,เขตลาดกระบัง,8025,"{'star_1': 1432, 'star_2': 403, 'star_3': 826, 'star_4': 1481, 'star_5': 3883}",3.75,23586,19024,80.66,14266,84368
55,,18121,สำนักการศึกษา สนศ.กทม.,143,"{'star_1': 29, 'star_2': 7, 'star_3': 14, 'star_4': 15, 'star_5': 78}",3.74,403,351,87.10,7375,52030
56,,18055,เขตคลองเตย,9727,"{'star_1': 1852, 'star_2': 486, 'star_3': 973, 'star_4': 1658, 'star_5': 4758}",3.72,31160,24567,78.84,27273,92130
57,,18129,สำนักสิ่งแวดล้อม กทม.,9173,"{'star_1': 1749, 'star_2': 497, 'star_3': 885, 'star_4': 1452, 'star_5': 4590}",3.72,24309,21640,89.02,8405,78992
58,,18045,เขตวัฒนา,9992,"{'star_1': 1962, 'star_2': 564, 'star_3': 979, 'star_4': 1825, 'star_5': 4662}",3.67,32396,26263,81.07,23620,92137
59,,18030,เขตบางรัก,7473,"{'star_1': 1560, 'star_2': 373, 'star_3': 692, 'star_4': 1207, 'star_5': 3641}",3.67,21568,17315,80.28,17664,84327
60,,18126,สำนักการวางผังและพัฒนาเมือง กทม.,99,"{'star_1': 19, 'star_2': 7, 'star_3': 10, 'star_4': 17, 'star_5': 46}",3.65,236,207,87.71,31969,133227
61,,18029,เขตบางพลัด,5518,"{'star_1': 1305, 'star_2': 245, 'star_3': 508, 'star_4': 802, 'star_5': 2658}",3.59,16426,11915,72.54,16391,92196
62,,18118,สำนักการแพทย์ กทม.,218,"{'star_1': 47, 'star_2': 12, 'star_3': 23, 'star_4': 39, 'star_5': 97}",3.58,622,564,90.68,10359,50244
63,,18032,เขตปทุมวัน,8889,"{'star_1': 2375, 'star_2': 496, 'star_3': 845, 'star_4': 1412, 'star_5': 3761}",3.41,28557,21517,75.35,15025,114645
64,,18117,สำนักการคลัง กทม.,165,"{'star_1': 45, 'star_2': 9, 'star_3': 18, 'star_4': 24, 'star_5': 69}",3.38,479,453,94.57,6736,49226
65,,18130,สำนักอนามัย กทม.,863,"{'star_1': 299, 'star_2': 55, 'star_3': 81, 'star_4': 130, 'star_5': 298}",3.08,2986,2959,99.10,36876,189473
66,,27809,สำนักปลัด กทม.,2,"{'star_1': 2, 'star_2': 0, 'star_3': 0, 'star_4': 0, 'star_5': 0}",1.00,52,8,15.38,7397,239377
