date,rain_sum,precipitation_hours,precipitation_sum
2021-07-31 17:00:00+00:00,3.2,6.0,3.2
2021-08-01 17:00:00+00:00,1.1,6.0,1.1
2021-08-02 17:00:00+00:00,5.9,4.0,5.9
2021-08-03 17:00:00+00:00,2.9,7.0,2.9
2021-08-04 17:00:00+00:00,4.8999996,8.0,4.8999996
2021-08-05 17:00:00+00:00,4.4,8.0,4.4
2021-08-06 17:00:00+00:00,3.6999998,7.0,3.6999998
2021-08-07 17:00:00+00:00,1.4000001,6.0,1.4000001
2021-08-08 17:00:00+00:00,1.7,4.0,1.7
2021-08-09 17:00:00+00:00,3.9999998,10.0,3.9999998
2021-08-10 17:00:00+00:00,9.5,9.0,9.5
2021-08-11 17:00:00+00:00,6.5999994,12.0,6.5999994
2021-08-12 17:00:00+00:00,8.7,10.0,8.7
2021-08-13 17:00:00+00:00,4.2,12.0,4.2
2021-08-14 17:00:00+00:00,7.1999993,21.0,7.1999993
2021-08-15 17:00:00+00:00,8.8,16.0,8.8
2021-08-16 17:00:00+00:00,0.2,1.0,0.2
2021-08-17 17:00:00+00:00,0.0,0.0,0.0
2021-08-18 17:00:00+00:00,2.3999999,5.0,2.3999999
2021-08-19 17:00:00+00:00,3.1999998,6.0,3.1999998
2021-08-20 17:00:00+00:00,5.3,6.0,5.3
2021-08-21 17:00:00+00:00,13.9,13.0,13.9
2021-08-22 17:00:00+00:00,5.3999996,3.0,5.3999996
2021-08-23 17:00:00+00:00,16.6,8.0,16.6
2021-08-24 17:00:00+00:00,18.699999,19.0,18.699999
2021-08-25 17:00:00+00:00,13.499998,22.0,13.499998
2021-08-26 17:00:00+00:00,15.4,17.0,15.4
2021-08-27 17:00:00+00:00,4.9,10.0,4.9
2021-08-28 17:00:00+00:00,8.500001,19.0,8.500001
2021-08-29 17:00:00+00:00,8.4,9.0,8.4
2021-08-30 17:00:00+00:00,21.500002,16.0,21.500002
2021-08-31 17:00:00+00:00,10.0,18.0,10.0
